# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16419
#@/user_id	2a0bc472-4445-4d93-8ddf-986d757ebe5b
a 	啊	c=94 d=1.01937 t=16418
da liang shi jian 	大量时间	c=1 d=1 t=14853
da lou 	大楼	c=1 d=1.65811e-08 t=16418
da luan 	大乱	c=0 d=0.1 t=6135
da luan dou 	大乱斗	c=1 d=1 t=6136
da mu biao 	大目标	c=1 d=1 t=4625
da pei xun 	大培训	c=1 d=1 t=12552
da pi 	大批	c=1 d=8.23594e-05 t=16418
da pi dong qian 	大批东迁	c=1 d=0.000122794 t=16418
da ping xiang 	大坪乡	c=1 d=1 t=11432
da sha 	大厦	c=1 d=1 t=14613
da shi 	大师	c=1 d=1.34381e-06 t=16418
da si 	大四	c=2 d=3.15218e-07 t=16418
da suan 	打算	c=1 d=0.00082099 t=16418
da wan 	大碗	c=2 d=9.12785e-08 t=16418
da xiao xie 	大小写	c=1 d=1.09775e-09 t=16418
da xing 	大型	c=1 d=9.70941e-07 t=16418
da xue 	大学	c=5 d=2.8426 t=9225
da xue sheng 	大学生	c=6 d=2.81801e-07 t=16418
da yang 	大洋	c=1 d=0.0031354 t=16418
da ye 	大冶	c=1 d=0.000497955 t=16418
da yin 	打印	c=3 d=7.52526e-09 t=16418
da yin ji 	打印机	c=1 d=1 t=8722
da you xi 	打游戏	c=1 d=1 t=9416
da yu 	大于	c=7 d=2.02727 t=11110
da zao 	打造	c=1 d=1 t=5223
da zhao 	大招	c=1 d=1 t=5083
da zhe 	打折	c=1 d=0.00794669 t=16418
da zhuan 	大专	c=1 d=2.69958e-07 t=16418
da zi 	打字	c=1 d=1.94545e-05 t=16418
da zi su du 	打字速度	c=1 d=1.54949e-05 t=16418
dai 	代	c=1 d=0.1 t=11926
dai 	带	c=4 d=1.03119 t=15819
dai 	待	c=19 d=0.000528747 t=16418
dai ban 	待办	c=2 d=1.00004 t=13093
dai cha 	待查	c=2 d=1.74082 t=7052
dai ding 	待定	c=1 d=1 t=14211
dai hao 	代号	c=1 d=1 t=5006
dai he zhun 	待核准	c=1 d=1 t=11938
dai hui jia 	带回家	c=1 d=1 t=5655
dai jiao dian 	待焦点	c=2 d=1.03159 t=14410
dai le 	待了	c=1 d=1 t=5561
dai li 	代理	c=96 d=3.38545 t=16418
dai li shang 	代理商	c=1 d=1 t=16367
dai ma 	代码	c=5 d=0.0393325 t=16418
dai rong qian 	待熔纤	c=1 d=1 t=13727
dai shen he 	代审核	c=1 d=1 t=11927
dai shi gong 	待施工	c=12 d=1.00031 t=15855
dai ti 	代替	c=1 d=1 t=5274
dai tiao qian 	待跳纤	c=1 d=1 t=13834
dai tong zhi 	待通知	c=1 d=1 t=15121
dai wa 	带娃	c=1 d=5.29017e-10 t=16418
dai ying fu 	带营服	c=1 d=1 t=15587
dai you 	带有	c=1 d=1 t=5955
dai yu 	待遇	c=1 d=8.31529e-07 t=16418
dan 	但	c=11 d=0.147342 t=16418
dan 	单	c=4 d=1.00035 t=9821
dan 	淡	c=0 d=1.67883e-08 t=16418
dan bai 	蛋白	c=2 d=0.000113493 t=16418
dan bai shi pin 	蛋白食品	c=2 d=7.33156e-05 t=16418
dan bai zhi 	蛋白质	c=4 d=0.000158481 t=16418
dan bu 	但不	c=0 d=0.1 t=5578
dan bu hui 	但不会	c=1 d=1 t=5579
dan che 	单车	c=6 d=0.0108485 t=16418
dan ci 	单词	c=2 d=1.7089e-10 t=16418
dan dian 	单点	c=1 d=1 t=6865
dan du 	单独	c=2 d=1 t=11201
dan fang mian 	单方面	c=1 d=1 t=15317
dan hao 	单号	c=1 d=1.07531 t=6858
dan jian 	单键	c=1 d=1 t=12260
dan pian ji 	单片机	c=1 d=3.14512e-10 t=16418
dan shi 	但是	c=22 d=1.37917 t=16418
dan shi xian shi 	但是显示	c=1 d=1 t=9921
dan ta 	但他	c=1 d=0.00887071 t=16418
dan wang ji 	淡旺季	c=1 d=1.68724e-07 t=16418
dan wei 	单位	c=8 d=0.00176597 t=16418
dan wo 	但我	c=3 d=1 t=12719
dan yi 	单一	c=0 d=0.1 t=9716
dan yi you 	单一优	c=1 d=1 t=9717
dan yuan 	单元	c=2 d=1 t=13378
dan yuan ge 	单元格	c=2 d=1.00592 t=11814
dang 	当	c=3 d=0.0397558 t=16418
dang an 	档案	c=7 d=0.102009 t=16418
dang chang 	当场	c=1 d=1 t=12408
dang di 	当地	c=2 d=0.000468957 t=16418
dang qian 	当前	c=4 d=1.02004 t=12381
dang ran 	当然	c=1 d=1 t=12609
dang shi 	当时	c=4 d=0.234226 t=16418
dao 	到	c=36 d=0.412731 t=16418
dao 	导	c=4 d=2.74657 t=9950
dao chang 	到场	c=1 d=1 t=4901
dao che 	倒车	c=1 d=1.28468e-06 t=16418
dao chu 	导出	c=2 d=1 t=10839
dao hai 	倒还	c=0 d=7.69323e-05 t=16418
dao hai hao 	倒还好	c=1 d=0.000773179 t=16418
dao le 	到了	c=1 d=1 t=8884
dao liu 	倒流	c=3 d=0.000840612 t=16418
dao mi 	稻米	c=1 d=4.70171e-05 t=16418
dao shi 	倒是	c=1 d=5.97806e-07 t=16418
dao shi hou 	到时候	c=1 d=1 t=6352
dao shou 	到手	c=3 d=1 t=12907
dao teng 	倒腾	c=1 d=1 t=9775
dao wai 	到外	c=1 d=1 t=5858
dao wei 	到位	c=4 d=1.99005 t=13612
dao zhi 	导致	c=2 d=1 t=14647
de 	得	c=1 d=0.124307 t=16418
de 	的	c=496 d=5.45255 t=16418
de dao 	得到	c=1 d=1 t=9083
de fu gai 	的覆盖	c=1 d=1 t=10862
de hua 	的话	c=1 d=1 t=4828
de huo 	的活	c=1 d=1 t=6025
de ming xi 	的明细	c=1 d=1 t=8344
de qi 	得起	c=0 d=0.1 t=16039
dei 	得	c=12 d=1.01341e-06 t=16418
deng 	登	c=9 d=1.04299 t=11886
deng 	等	c=14 d=0.0219847 t=16418
deng bu jin qu 	等不进去	c=1 d=1 t=11884
deng bu shang qu 	等不上去	c=1 d=1 t=8880
deng dai 	等待	c=0 d=7.77319e-09 t=16418
deng dai ru zhi 	等待入职	c=1 d=7.81215e-08 t=16418
deng deng 	等等	c=2 d=3.44964e-06 t=16418
deng ji 	登记	c=5 d=1.67368 t=15887
deng ji 	等级	c=3 d=0.0329519 t=16418
deng le 	等了	c=1 d=1 t=5723
deng lu 	登录	c=5 d=0.00190277 t=16418
deng ren 	等人	c=2 d=1.18151e-06 t=16418
deng wo 	等我	c=9 d=5.0332e-07 t=16418
deng yi xia 	等一下	c=1 d=1 t=9488
deng zi qi 	邓紫棋	c=2 d=0.000283103 t=16418
di 	低	c=4 d=0.212248 t=16418
di 	地	c=1 d=0.100013 t=12957
di 	帝	c=1 d=1 t=14546
di 	底	c=27 d=0.451983 t=16418
di 	弟	c=1 d=1 t=6227
di 	第	c=2 d=1.00752 t=16131
di 	迪	c=1 d=1 t=14640
di bao 	底包	c=1 d=1 t=5185
di er 	第二	c=2 d=0.0298975 t=16418
di fang 	地方	c=1 d=1 t=4797
di mian 	底面	c=1 d=1 t=9480
di qing shang 	低情商	c=1 d=3.98723e-07 t=16418
di qu 	地区	c=7 d=0.00028615 t=16418
di ren 	地人	c=1 d=1.03632e-08 t=16418
di san fang 	第三方	c=1 d=1 t=6654
di shi 	地市	c=2 d=1.00206 t=12662
di tu 	地图	c=7 d=0.000925863 t=16418
di xia 	地下	c=1 d=7.15703e-07 t=16418
di yan chi 	低延迟	c=1 d=0.024234 t=16418
di yi 	第一	c=3 d=1.00001 t=14465
di yi ci 	第一次	c=1 d=1.11147e-08 t=16418
di yi ge 	第一个	c=1 d=1 t=8187
di yi ji du 	第一季度	c=11 d=1.00278 t=15631
di yi nian 	第一年	c=1 d=1 t=9334
di yi shi jian 	第一时间	c=2 d=1.00021 t=12040
di yi wei 	第一位	c=1 d=4.25573e-09 t=16418
di zhi 	地址	c=21 d=0.244022 t=16418
di zhi bian ma 	地址编码	c=1 d=1 t=15428
dia 	嗲	c=1 d=2.60717e-09 t=16418
dian 	店	c=1 d=1.51514e-07 t=16418
dian 	点	c=17 d=0.49641 t=16418
dian chi 	电池	c=1 d=1 t=11484
dian dong che 	电动车	c=0 d=1.99507e-09 t=16418
dian hua 	电话	c=7 d=1.00571 t=16379
dian ji 	点击	c=4 d=0.00042702 t=16418
dian li 	电力	c=1 d=1 t=8273
dian nao 	电脑	c=11 d=0.850739 t=16418
dian ping che 	电瓶车	c=1 d=0.00341356 t=16418
dian qi 	电气	c=2 d=1.83366e-06 t=16418
dian sha 	点啥	c=1 d=0.0804596 t=16418
dian shi 	电视	c=1 d=1 t=6234
dian tou 	点头	c=1 d=1 t=16363
dian wo 	点我	c=1 d=3.32181e-06 t=16418
dian xin 	电信	c=6 d=0.00844486 t=16418
dian ya 	电压	c=1 d=1 t=10699
dian yuan 	电源	c=2 d=1.09005 t=15278
dian yuan jian 	电源件	c=1 d=1 t=15279
dian zhang 	店长	c=3 d=2.73059 t=4937
dian zi 	电子	c=5 d=0.0731678 t=16418
diao 	掉	c=2 d=1 t=15572
diao 	调	c=3 d=0.000493001 t=16418
diao diao 	调调	c=1 d=0.00105417 t=16418
diao dong 	调动	c=1 d=1 t=6564
diao du 	调度	c=1 d=1 t=5111
diao guo lai 	调过来	c=1 d=1 t=5446
diao yong 	调用	c=1 d=8.05144e-10 t=16418
die dai 	迭代	c=1 d=1 t=7322
ding 	丁	c=1 d=1 t=13201
ding 	定	c=3 d=0.00408677 t=16418
ding bu zhu 	顶不住	c=1 d=2.23822e-08 t=16418
ding dan 	订单	c=0 d=0.000456197 t=16418
ding ding 	叮叮	c=1 d=6.50952e-09 t=16418
ding ding 	钉钉	c=56 d=0.35466 t=16418
ding feng 	顶峰	c=1 d=1.85508e-05 t=16418
ding gang 	定岗	c=3 d=0.114964 t=16418
ding qi 	定期	c=3 d=1.64586e-09 t=16418
ding shuai 	丁帅	c=11 d=1.45319e-06 t=16418
ding wei 	定位	c=5 d=1.93295 t=14102
ding yi 	定义	c=3 d=2.5222e-09 t=16418
ding yue 	订阅	c=1 d=1 t=12956
diu 	丢	c=2 d=0.00600598 t=16418
diu le 	丢了	c=0 d=2.03503e-07 t=16418
dong 	东	c=13 d=2.15004 t=13250
dong 	动	c=2 d=0.0739054 t=16418
dong 	栋	c=1 d=1 t=12361
dong ai 	栋哎	c=1 d=1 t=12487
dong gao xi gao 	东搞西搞	c=1 d=0.257947 t=16418
dong ge 	懂个	c=1 d=1 t=12596
dong jie 	冻结	c=6 d=1 t=13933
dong le 	懂了	c=1 d=0.090718 t=16418
dong liu 	东流	c=1 d=1 t=12920
dong man 	动漫	c=1 d=0.00211225 t=16418
dong nan 	东南	c=1 d=7.4107e-05 t=16418
dong nan yan hai 	东南沿海	c=1 d=0.00012909 t=16418
dong qian 	东迁	c=1 d=8.2711e-05 t=16418
dong qiao 	东桥	c=1 d=1 t=16196
dong xi 	东西	c=4 d=0.67401 t=16418
dong zhan 	东站	c=1 d=1 t=13814
dong zhi wu 	动植物	c=2 d=7.29499e-05 t=16418
dou 	斗	c=0 d=0.0216536 t=16418
dou 	逗	c=1 d=1 t=15030
dou 	都	c=50 d=1.04956 t=16418
dou bu qing chu 	都不清楚	c=1 d=0.118245 t=16418
dou bu rong yi 	都不容易	c=1 d=3.39769e-07 t=16418
dou bu yao qian 	都不要钱	c=1 d=0.00307331 t=16418
dou fu 	豆腐	c=8 d=0.000246186 t=16418
dou mei you 	都没有	c=1 d=1 t=4927
dou shi 	都是	c=7 d=0.201525 t=16418
dou yan shou 	都验收	c=1 d=1 t=16231
dou yao 	都要	c=4 d=1.06224 t=16418
dou yin 	抖音	c=1 d=1 t=12701
dou yong 	都用	c=2 d=0.209385 t=16418
dou you 	都有	c=4 d=6.01661e-05 t=16418
dou zai 	都在	c=4 d=0.0889216 t=16418
dou zhi 	斗志	c=0 d=0.0216536 t=16418
dou zhi dou yong 	斗志斗勇	c=1 d=0.217621 t=16418
du 	堵	c=1 d=1 t=9582
du 	度	c=1 d=1 t=13901
du 	杜	c=1 d=1 t=12292
du 	渡	c=0 d=0.1 t=13196
du 	读	c=3 d=2.86651e-07 t=16418
du chuan 	渡船	c=1 d=1 t=13221
du cu 	督促	c=8 d=2.23302 t=14902
du li 	独立	c=1 d=0.0116786 t=16418
du qu 	读取	c=1 d=3.63588e-10 t=16418
du shu 	读书	c=3 d=1.00019 t=8439
du xian 	独显	c=1 d=1 t=12397
du yin 	读音	c=1 d=4.24546e-10 t=16418
duan 	段	c=1 d=1 t=8713
duan 	端	c=3 d=1.12264e-08 t=16418
duan ban 	短板	c=2 d=1.99501 t=13311
duan kai 	断开	c=1 d=1 t=12417
duan kou 	端口	c=48 d=4.72752 t=16418
duan kou shu 	端口数	c=6 d=4.31439 t=16052
duan lian 	锻炼	c=2 d=6.24732e-10 t=16418
duan lian le 	锻炼了	c=1 d=5.47861e-10 t=16418
duan xin 	短信	c=6 d=1.32303 t=16252
duan yu 	短语	c=1 d=1 t=12549
dui 	对	c=9 d=0.0343171 t=16418
dui 	队	c=5 d=1.00741 t=14843
dui ba 	对吧	c=3 d=1 t=8685
dui bi 	对比	c=2 d=1 t=11165
dui bu shang 	对不上	c=4 d=2.83785 t=15409
dui ci 	对此	c=1 d=1 t=14942
dui jie 	对接	c=7 d=0.217702 t=16418
dui jie qing kuang 	对接情况	c=1 d=1 t=14241
dui kou 	对口	c=1 d=1 t=5352
dui ma 	对吗	c=1 d=0.00047367 t=16418
dui shang 	对上	c=2 d=0.0129766 t=16418
dui wo 	对我	c=1 d=1 t=14971
dui xiang 	对象	c=4 d=3.83053 t=15754
dui ying 	对应	c=10 d=0.015194 t=16418
dui ying biao 	对应表	c=1 d=1 t=15236
dui ying de 	对应的	c=1 d=1 t=14349
dui ying qu xian 	对应区县	c=1 d=1 t=13653
dui ying xiang 	对应项	c=1 d=1 t=7688
dui yu 	对于	c=8 d=5.3713e-08 t=16418
dui zhao 	对照	c=3 d=1 t=15583
dun 	盾	c=2 d=8.46281e-08 t=16418
dun 	蹲	c=2 d=0.173774 t=16418
dun 	顿	c=1 d=1 t=4554
dun dian 	蹲点	c=1 d=0.141564 t=16418
dun jiu 	蹲久	c=1 d=0.153355 t=16418
duo 	多	c=23 d=0.62245 t=16418
duo dao 	多道	c=0 d=3.6084e-10 t=16418
duo dao ti 	多道题	c=1 d=3.62649e-09 t=16418
duo ge 	多个	c=3 d=7.43249e-06 t=16418
duo hang 	多行	c=1 d=0.00108628 t=16418
duo jiu 	多久	c=1 d=1 t=10891
duo le 	多了	c=1 d=9.66263e-09 t=16418
duo mei ti 	多媒体	c=1 d=9.12348e-10 t=16418
duo ren 	多人	c=1 d=1 t=7844
duo shao 	多少	c=9 d=0.00135167 t=16418
duo xian shi 	多显示	c=1 d=1.08511 t=6887
duo xian shi qi 	多显示器	c=1 d=1 t=6888
duo yue 	多月	c=1 d=0.00670434 t=16418
duo zhang 	多张	c=1 d=1 t=15134
duo zhong 	多种	c=2 d=0.000216553 t=16418
duo zhong 	多重	c=1 d=1 t=6434
e 	额	c=6 d=0.000283355 t=16418
e bu si 	饿不死	c=1 d=1.78264e-07 t=16418
e hui ban 	鄂汇办	c=2 d=1.08946e-08 t=16418
e wai 	额外	c=3 d=3.12941e-07 t=16418
e xing 	恶性	c=1 d=1 t=5782
e yi 	恶意	c=1 d=1 t=6384
e yu 	鳄鱼	c=1 d=2.4431e-09 t=16418
ei 	欸	c=1 d=0.00109719 t=16418
en 	嗯	c=8 d=0.625522 t=16418
en 	恩	c=1 d=9.80866e-09 t=16418
er 	二	c=10 d=0.0789204 t=16418
er 	而	c=3 d=1 t=10047
er bu shi 	而不是	c=1 d=1 t=13518
er qiao 	二桥	c=1 d=1 t=10231
er qie 	而且	c=5 d=1 t=15378
er shi 	二十	c=1 d=2.02522e-08 t=16418
er tai 	二胎	c=1 d=1 t=15522
er yi 	而异	c=1 d=1 t=5691
er yue 	二月	c=1 d=0.0590129 t=16418
er zai yu 	而在于	c=1 d=1 t=10895
fa 	发	c=18 d=0.20089 t=16418
fa 	法	c=2 d=1 t=12834
fa bu 	发布	c=2 d=1 t=10859
fa bu chu lai 	发布出来	c=1 d=1 t=5347
fa chu lai 	发出来	c=1 d=1 t=14588
fa chu qu 	发出去	c=1 d=1 t=11245
fa de 	发的	c=3 d=0.71635 t=16418
fa ding 	法定	c=1 d=1 t=12924
fa ge 	发个	c=1 d=1 t=6512
fa gei 	发给	c=2 d=1 t=13017
fa gong zi 	发工资	c=4 d=0.0368832 t=16418
fa guo lai 	发过来	c=1 d=1 t=14934
fa le 	发了	c=3 d=1 t=15483
fa ni 	发你	c=2 d=1 t=13305
fa qi 	发起	c=2 d=1.2019 t=7428
fa qi ren 	发起人	c=1 d=1 t=14877
fa qian 	发钱	c=1 d=1.29446e-07 t=16418
fa song 	发送	c=1 d=1 t=12181
fa tu 	发图	c=1 d=1 t=14166
fa wang 	法王	c=1 d=1.86437e-05 t=16418
fa wen jian 	发文件	c=1 d=1 t=14711
fa wo 	发我	c=3 d=1 t=14488
fa xian 	发现	c=1 d=0.315058 t=16418
fa xiao xi 	发消息	c=1 d=1 t=15343
fa yi ge 	发一个	c=1 d=1 t=7139
fa zhan 	发展	c=1 d=1 t=14918
fa zi 	法子	c=1 d=1 t=8976
fan 	反	c=1 d=3.76411e-06 t=16418
fan 	烦	c=1 d=0.0342181 t=16418
fan 	翻	c=2 d=1.89287e-07 t=16418
fan bu dao 	翻不到	c=1 d=1 t=10564
fan chu lai 	翻出来	c=1 d=1 t=13323
fan dai 	反代	c=2 d=2.36066e-09 t=16418
fan dian 	饭店	c=1 d=1 t=11731
fan er 	反而	c=2 d=0.000608204 t=16418
fan hui 	返回	c=4 d=1.47128e-06 t=16418
fan ke 	蕃客	c=2 d=0.000206645 t=16418
fan kui 	反馈	c=9 d=1.01839 t=14311
fan le 	犯了	c=1 d=1.60081e-06 t=16418
fan le 	翻了	c=2 d=0.395599 t=16418
fan mian 	反面	c=1 d=0.937067 t=16418
fan qiang 	翻墙	c=1 d=6.55797e-08 t=16418
fan qing 	烦请	c=8 d=1.01323 t=15826
fan ren 	凡人	c=0 d=0.000208081 t=16418
fan ren xiu xian 	凡人修仙	c=1 d=0.00209124 t=16418
fan xie gang 	反斜杠	c=1 d=2.28382e-10 t=16418
fan yi 	翻一	c=1 d=1 t=11243
fan yi 	翻译	c=11 d=1.99005 t=13974
fan ying 	反应	c=1 d=1 t=9071
fan ying 	反映	c=1 d=1 t=9077
fan zheng 	反正	c=3 d=0.000777055 t=16418
fang 	放	c=1 d=1 t=10545
fang 	方	c=3 d=1.37464 t=15076
fang an 	方案	c=1 d=1.37143e-10 t=16418
fang bian 	方便	c=6 d=0.814647 t=16418
fang fa 	方法	c=1 d=1 t=8042
fang ge 	放歌	c=1 d=0.000274654 t=16418
fang hu 	防护	c=1 d=1 t=6292
fang huo qiang 	防火墙	c=1 d=1 t=10174
fang jia 	房价	c=1 d=1 t=12949
fang jia 	放假	c=1 d=1.59695e-07 t=16418
fang kong 	防控	c=3 d=2.21136 t=12788
fang kong qu yu 	防控区域	c=1 d=1 t=12789
fang mian 	方面	c=3 d=1.49411 t=12768
fang qi 	放弃	c=1 d=1 t=13063
fang shan 	方山	c=1 d=1 t=13185
fang shi 	方式	c=7 d=0.000136561 t=16418
fang wen 	访问	c=7 d=0.000330223 t=16418
fang xin 	放心	c=1 d=5.64353e-06 t=16418
fang yi 	防疫	c=1 d=1 t=9837
fang zai 	放在	c=1 d=4.2345e-09 t=16418
fang zhe 	放着	c=3 d=1.06826 t=15541
fang zhi 	纺织	c=1 d=1.48156e-07 t=16418
fang zhi 	防止	c=2 d=1.48899e-07 t=16418
fei 	费	c=6 d=0.0191202 t=16418
fei 	非	c=1 d=0.129748 t=15810
fei chang 	非常	c=8 d=0.403732 t=16418
fei ji 	飞机	c=1 d=2.22668e-06 t=16418
fei ming dan zhi 	非名单制	c=1 d=1 t=15811
fei pin 	废品	c=1 d=2.23282e-09 t=16418
fei qi 	废弃	c=3 d=1.00029 t=8418
fei yan 	肺炎	c=1 d=1.01851 t=12804
fen 	份	c=13 d=1.1846 t=16418
fen 	分	c=16 d=0.527845 t=16418
fen 	粉	c=0 d=9.54601e-06 t=16418
fen bi da 	芬必达	c=1 d=1.56129e-06 t=16418
fen bian lv 	分辨率	c=3 d=0.000291637 t=16418
fen bu 	分部	c=1 d=0.00190171 t=16418
fen dao 	分到	c=1 d=1 t=4985
fen gong si 	分公司	c=3 d=1.86412 t=15026
fen guan 	分管	c=1 d=1 t=12592
fen guang 	分光	c=0 d=0.1 t=10614
fen guang qi 	分光器	c=1 d=1 t=10615
fen lei 	分类	c=2 d=1.956 t=9879
fen li 	分离	c=1 d=5.00622e-08 t=16418
fen pei 	分配	c=1 d=1 t=6415
fen qu 	分区	c=3 d=2.54452 t=8140
fen san 	分散	c=1 d=0.000182274 t=16418
fen xi 	分析	c=7 d=1.58129 t=10593
fen xian xiang 	分纤箱	c=1 d=1 t=11685
fen zhong 	分钟	c=4 d=2.03538e-08 t=16418
fen zu 	分组	c=1 d=1 t=11336
feng 	峰	c=2 d=1.00099 t=14691
feng cheng 	封城	c=1 d=0.0376283 t=16418
feng dan 	枫丹	c=2 d=0.00440507 t=16418
feng fu 	丰富	c=3 d=7.09012e-05 t=16418
feng gong 	丰功	c=2 d=6.82989e-05 t=16418
feng huang 	凤凰	c=1 d=1 t=5082
feng mian 	封面	c=1 d=1 t=15908
feng ming 	蜂鸣	c=1 d=3.49331e-10 t=16418
feng shu 	枫树	c=3 d=2.48572 t=11688
feng xian 	风险	c=2 d=1.86502 t=8763
fou 	否	c=30 d=1.25191 t=16418
fu 	付	c=2 d=0.107528 t=16418
fu 	府	c=1 d=1 t=14378
fu dao 	辅导	c=1 d=1 t=6109
fu ding 	府顶	c=1 d=1.87372e-05 t=16418
fu gai 	覆盖	c=28 d=2.96679 t=16418
fu gai lv 	覆盖率	c=2 d=1.2739 t=16323
fu gao 	附睾	c=1 d=1 t=8654
fu he 	符合	c=1 d=0.00554422 t=16418
fu jian 	附件	c=2 d=1.94176 t=10661
fu jin 	附近	c=1 d=1.00119 t=13344
fu qian 	付钱	c=1 d=0.00369786 t=16418
fu shi 	副食	c=1 d=1 t=11504
fu wu 	服务	c=18 d=0.990159 t=16418
fu wu ju 	服务局	c=1 d=4.8091e-06 t=16418
fu wu qi 	服务器	c=5 d=0.179973 t=16418
fu xi 	复习	c=1 d=0.00771183 t=16418
fu xian 	复现	c=1 d=1 t=5032
fu xing 	福星	c=1 d=1 t=13432
fu yi 	辅以	c=1 d=1 t=5553
fu yin 	复印	c=1 d=1.38497e-08 t=16418
fu za 	复杂	c=1 d=0.00171216 t=16418
fu ze 	负责	c=17 d=1 t=14725
fu ze ren 	负责人	c=3 d=1 t=15069
fu zhai 	负债	c=1 d=1 t=9633
fu zhi 	复制	c=2 d=2.76391e-09 t=16418
fu zhu 	辅助	c=1 d=1.47392e-05 t=16418
fu zong 	付总	c=1 d=1 t=14499
gai 	改	c=4 d=1.28936 t=15164
gai 	该	c=2 d=1 t=14846
gai de 	改的	c=1 d=0.0086517 t=16418
gai diao 	改掉	c=1 d=1 t=4667
gai jian 	改建	c=12 d=1.61351 t=12439
gai mi 	改密	c=1 d=3.39007e-10 t=16418
gai yao 	概要	c=1 d=1 t=4659
gai zao 	改造	c=2 d=1.99501 t=9858
gai zhang 	盖章	c=1 d=1 t=14162
gan 	干	c=2 d=1 t=12970
gan 	感	c=2 d=0.1 t=12968
gan bu xia qu 	感不下去	c=1 d=1 t=12969
gan chu 	感触	c=1 d=1 t=5490
gan huo 	干活	c=1 d=1 t=5003
gan jin 	赶紧	c=1 d=1 t=9598
gan jue 	感觉	c=19 d=0.991955 t=16418
gan jue hai xing 	感觉还行	c=1 d=1.86469e-07 t=16418
gan le 	干了	c=2 d=0.117068 t=16418
gan ran 	感染	c=1 d=1 t=12938
gan sha 	干啥	c=4 d=0.128647 t=16418
gan su 	甘肃	c=2 d=0.000169956 t=16418
gan xia qu 	干下去	c=1 d=0.000508015 t=16418
gan xie 	感谢	c=2 d=1.01094 t=15872
gan xing qu 	感兴趣	c=1 d=0.0165727 t=16418
gang 	刚	c=1 d=1 t=9466
gang 	岗	c=2 d=1 t=15477
gang gang 	刚刚	c=1 d=1 t=10606
gang gang 	杠杠	c=0 d=8.61148e-08 t=16418
gang hao 	刚好	c=1 d=8.50523e-08 t=16418
gang ru zhi 	刚入职	c=1 d=1 t=5361
gao 	告	c=1 d=1 t=14965
gao 	搞	c=18 d=0.0796614 t=16418
gao 	高	c=8 d=3.0968e-05 t=16418
gao bu ding 	搞不定	c=2 d=1 t=7855
gao bu hao 	搞不好	c=2 d=1 t=12982
gao de 	高德	c=10 d=0.000855523 t=16418
gao de 	高的	c=1 d=1 t=6244
gao dian 	搞点	c=1 d=0.177284 t=16418
gao ding 	搞定	c=1 d=4.71468e-08 t=16418
gao diu le 	搞丢了	c=1 d=2.04523e-06 t=16418
gao feng xian 	高风险	c=1 d=1 t=12799
gao ji 	搞机	c=7 d=1.89433e-05 t=16418
gao ji 	高级	c=2 d=6.6796e-06 t=16418
gao ji yong fa 	高级用法	c=1 d=6.29975e-06 t=16418
gao ling ling 	高玲玲	c=2 d=1.7827 t=13227
gao pin 	高频	c=1 d=2.93249e-10 t=16418
gao qing chu 	搞清楚	c=1 d=0.0105145 t=16418
gao shou 	高手	c=1 d=1 t=4942
gao wen 	高温	c=2 d=2.73057e-07 t=16418
gao xiao 	搞笑	c=2 d=1 t=15016
gao xiao 	高校	c=1 d=4.55174e-06 t=16418
gao zhong 	高中	c=2 d=1.5037e-05 t=16418
gao zhuang 	高庄	c=1 d=1 t=11324
ge 	个	c=56 d=1.95561 t=16418
ge 	各	c=1 d=1 t=7986
ge 	哥	c=46 d=1.03269 t=16350
ge 	格	c=2 d=1 t=13379
ge 	隔	c=1 d=1 t=14555
ge bi 	隔壁	c=1 d=1 t=14617
ge ci 	歌词	c=2 d=0.000563278 t=16418
ge cun wei 	个村委	c=1 d=1 t=11434
ge dan wei 	各单位	c=1 d=1 t=14347
ge di 	各地	c=4 d=2.76257 t=13598
ge di qu 	各地区	c=1 d=1 t=7179
ge ge 	各个	c=1 d=1 t=15067
ge jie 	割接	c=4 d=1 t=15156
ge jie gong zuo 	哥姐工作	c=1 d=1 t=10097
ge li 	隔离	c=1 d=1 t=12770
ge qu 	各取	c=1 d=0.83527 t=16418
ge ren 	个人	c=6 d=2.07309e-09 t=16418
ge shi 	格式	c=3 d=0.0357931 t=16418
ge shu 	个数	c=5 d=4.45478 t=11010
ge wei 	各位	c=5 d=0.904837 t=16418
ge yue 	个月	c=1 d=1 t=5502
ge zhe 	歌者	c=1 d=1 t=5197
ge zhong 	各种	c=2 d=1 t=12233
ge zi 	个字	c=1 d=1.70391e-05 t=16418
gei 	给	c=15 d=0.817213 t=16418
gei ni 	给你	c=5 d=0.045275 t=16418
gei wo 	给我	c=8 d=0.00019549 t=16418
gen 	跟	c=3 d=0.0181334 t=16418
gen ben 	根本	c=1 d=4.29777e-07 t=16418
gen jin 	跟进	c=6 d=1.00059 t=13603
gen ju 	根据	c=2 d=1 t=13632
geng 	更	c=6 d=0.0199407 t=16418
geng 	羹	c=1 d=1 t=5800
geng bu 	更不	c=0 d=2.25526e-10 t=16418
geng bu shang 	更不上	c=1 d=2.26657e-09 t=16418
geng hao 	更好	c=2 d=1 t=14913
geng huan 	更换	c=1 d=1 t=11517
geng ju 	更具	c=1 d=1 t=13631
geng xin 	更新	c=17 d=1.23244 t=16418
gong 	工	c=2 d=1.00966 t=14699
